"survey_id","client","closeout_status","most_common_method","likelihood_success_without_cc","helpfulness_of_cc","most_often_discussed","created"
1,62,"success","inPerson",,"critical","","2016-07-27 15:15:18.98609+00"
2,522,"success","phone",5,"helpful","","2016-07-27 15:53:04.184978+00"
3,95,"failure","text",,"neutral","Whether his case filed and UA testing. He never tested and would text excuses mostly.","2016-07-27 18:09:25.860475+00"
4,83,"failure","inPerson",,"unhelpful","He never responded to the text I sent after I couldn't reach him via telephone. The only contact was when he was initially in the office. He failed to check in and was revoked.","2016-07-27 18:12:39.506685+00"
5,213,"failure","inPerson",3,"unhelpful","I texted him and he never texted back. He ended up with new charges and pretrial was revoked.","2016-07-27 18:14:42.285266+00"
6,370,"success","phone",3,"neutral","Client preferred calling instead of texting. He wasn't on my caseload very long.","2016-07-27 18:15:40.621913+00"
7,199,"failure","phone",,"neutral","Client called instead of texting. He was always missing UA tests and ended up getting pretrial revoked.","2016-07-27 18:17:06.677451+00"
8,141,"failure","phone",3,"neutral","","2016-07-27 18:18:04.499576+00"
9,387,"failure","inPerson",,"neutral","","2016-07-27 18:18:34.766532+00"
10,518,"failure","phone",,"helpful","Appointments, requests to call back. ","2016-07-28 14:55:01.056549+00"
11,525,"stillOpen","phone",,"neutral","","2016-07-28 16:21:30.225912+00"
12,241,"failure","inPerson",1,"unhelpful","","2016-07-28 16:40:45.030369+00"
13,378,"success","text",3,"neutral","","2016-07-28 16:41:30.133022+00"
14,294,"stillOpen","text",3,"neutral","","2016-07-28 16:43:50.091854+00"
15,307,"stillOpen","phone",1,"unhelpful","","2016-07-28 16:46:33.980688+00"
16,364,"success","text",3,"helpful","","2016-07-28 19:06:32.131139+00"
17,423,"success","inPerson",5,"helpful","","2016-07-28 20:00:20.926317+00"
18,40,"success","text",5,"neutral","case info","2016-07-29 17:45:18.682041+00"
19,514,"stillOpen","phone",,"helpful","","2016-07-29 21:33:20.085732+00"
20,409,"failure","phone",2,"helpful","","2016-08-01 14:18:14.22611+00"
21,190,"success","text",5,"helpful","","2016-08-01 14:18:53.516775+00"
22,614,"stillOpen","phone",,"helpful","","2016-08-01 15:48:54.783058+00"
23,586,"stillOpen","phone",,"neutral","","2016-08-01 16:46:08.623738+00"
24,180,"success","text",3,"helpful","","2016-08-02 07:11:48.263291+00"
25,644,"success","text",,"neutral","Duplicate entry.","2016-08-02 14:28:07.402187+00"
26,497,"success","text",4,"helpful","","2016-08-02 15:09:29.822278+00"
27,399,"success","text",4,"helpful","","2016-08-02 15:10:49.594876+00"
28,222,"failure","text",,"helpful","","2016-08-02 15:13:16.416155+00"
29,168,"stillOpen","phone",3,"helpful","CHECK IN AS DIRECTED","2016-08-02 19:30:40.32285+00"
30,301,"failure","text",3,"neutral","","2016-08-03 15:18:45.292209+00"
31,285,"success","text",5,"helpful","","2016-08-03 19:46:40.720737+00"
32,170,"success","phone",5,"neutral","court dates","2016-08-04 16:23:34.279148+00"
33,128,"success","phone",5,"neutral","reminders","2016-08-04 16:24:16.567494+00"
34,305,"success","text",3,"helpful","Reminders ","2016-08-04 16:25:24.735445+00"
35,140,"failure","phone",3,"unhelpful","reminders","2016-08-04 16:26:18.335679+00"
36,70,"success","phone",5,"neutral","Reminders","2016-08-04 16:29:40.071022+00"
37,127,"stillOpen","phone",2,"neutral","reminders","2016-08-04 16:30:28.119872+00"
38,626,"failure","text",,"neutral","Appointment reminder","2016-08-05 15:30:54.703318+00"
39,629,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:31:44.365323+00"
40,635,"success","text",3,"neutral","Appointment reminder","2016-08-05 15:32:03.653394+00"
41,672,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:33:08.53949+00"
42,636,"success","text",3,"neutral","Appointment reminder","2016-08-05 15:33:27.859044+00"
43,627,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:33:44.172794+00"
44,630,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:34:01.756342+00"
45,671,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:34:19.904882+00"
46,633,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:34:40.611644+00"
47,631,"success","text",3,"neutral","Appointment reminder","2016-08-05 15:35:06.243355+00"
48,632,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:35:20.301006+00"
49,628,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:35:39.676783+00"
50,673,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:35:55.05223+00"
51,634,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:36:10.269175+00"
52,637,"failure","phone",3,"neutral","Appointment reminder","2016-08-05 15:37:51.86021+00"
53,603,"failure","text",,"helpful","","2016-08-05 15:42:47.546933+00"
54,85,"success","phone",3,"helpful","Status of his case filing.","2016-08-08 16:08:30.185559+00"
55,458,"success","inPerson",,"neutral","client was incarcerated throughout his release and closed upon sentencing. No contact was made after initiation","2016-08-08 16:09:42.84184+00"
56,647,"stillOpen","phone",,"helpful","","2016-08-08 19:59:01.451041+00"
57,519,"stillOpen","phone",,"helpful","","2016-08-08 19:59:36.726681+00"
58,659,"stillOpen","phone",5,"neutral","I only used clientcomm once with this client.  I just started using clientcomm","2016-08-09 15:35:33.55271+00"
59,133,"success","text",3,"neutral","cannot recall","2016-08-09 19:20:26.628835+00"
60,569,"stillOpen","phone",,"neutral","","2016-08-09 20:00:33.097506+00"
61,499,"failure","text",1,"helpful","appointments and probation status","2016-08-10 17:58:47.429762+00"
62,472,"failure","phone",1,"helpful","appointments","2016-08-10 17:59:46.335989+00"
63,456,"failure","text",,"neutral","","2016-08-10 22:00:05.268961+00"
64,223,"success","text",4,"helpful","","2016-08-10 22:00:47.406096+00"
65,253,"failure","text",,"helpful","","2016-08-10 22:01:45.486394+00"
66,240,"success","text",4,"helpful","","2016-08-10 22:04:01.892246+00"
67,256,"success","text",5,"helpful","","2016-08-10 22:04:20.518331+00"
68,282,"success","text",5,"helpful","","2016-08-10 22:04:38.623773+00"
69,468,"stillOpen","phone",,"helpful","","2016-08-12 14:52:54.484909+00"
70,231,"failure","inPerson",1,"neutral","","2016-08-12 20:13:13.822547+00"
71,710,"failure","inPerson",1,"neutral","","2016-08-12 20:39:28.74524+00"
72,556,"success","inPerson",4,"helpful","","2016-08-12 20:39:53.561536+00"
73,553,"success","inPerson",4,"neutral","","2016-08-12 20:40:08.561546+00"
74,379,"success","phone",4,"helpful","Appointment schedules.","2016-08-16 17:27:20.460966+00"
75,182,"failure","text",,"unhelpful","His case filing and court dates","2016-08-17 16:02:36.982508+00"
76,539,"failure","text",3,"neutral","Her non compliance, and her telling me she is complying.","2016-08-17 16:03:54.229431+00"
77,648,"stillOpen","phone",,"helpful","Her son, this was the client's mother.","2016-08-19 15:17:26.213758+00"
78,655,"failure","phone",,"neutral","Probation fees","2016-08-19 22:30:58.725032+00"
79,622,"success","text",3,"neutral","Scheduled appointment. ","2016-08-22 15:48:09.606133+00"
80,619,"success","inPerson",4,"neutral","Set appt. ","2016-08-23 14:33:25.018362+00"
81,416,"stillOpen","phone",3,"helpful","","2016-08-24 20:08:31.290233+00"
82,295,"success","text",4,"helpful","","2016-08-24 21:50:10.963985+00"
83,822,"stillOpen","text",3,"helpful","Appts ","2016-08-26 17:59:35.262504+00"
84,587,"failure","text",,"helpful","testing","2016-08-26 20:45:57.225177+00"
